,Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
173,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59214,WYTHEVILLE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,213","7,213",0,"7,213",EAST TENN,7921323
174,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59215,Pulaski,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,213","7,213",0,"7,213",EAST TENN,7921323
175,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59216,DUBLIN,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,213","7,213",0,"7,213",EAST TENN,7921323
176,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59217,RADFORD,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,213","7,213",0,"7,213",EAST TENN,7921323
177,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59218,"Piedmont/Hendersonville, Sumner Co, TN.",,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"25,750","25,750","10,000","15,750",EAST TENN,7921323
178,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59219,TVA - John Sevier,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"432,000","432,000","83,691","348,309",EAST TENN,7921323
179,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59220,CNX Gas - Morgan County #10,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"3,595","3,595",0,"3,595",EAST TENN,7921323
180,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59221,"Lenoir City/Highway 321, Loudon Co., TN",,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"3,900","3,900",0,"3,900",EAST TENN,7921323
181,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59222,SALTVILLE DELIVERY INTO P-25,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"61,348","61,348",0,"61,348",EAST TENN,7921323
182,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59224,"Industrial Development Authority-Hillsville-Carroll Co., VA",,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"4,700","4,700",399,"4,301",EAST TENN,7921323
183,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59225,"CW-KINGSPORT EXPANSION EASTMAN #2, SULLIVAN, TN",,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"309,000","375,524","47,025","328,499",EAST TENN,7921323
